sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
02000186,5.6,6.25,8.6,,,,6.0,7.25,7.5,N1
02000187,6.0,6.25,5.8,,,,6.25,7.0,8.0,N1
02000188,8.4,8.0,9.2,7.25,8.25,7.5,,,,N1
02000189,7.4,7.5,,,,,8.5,9.5,8.5,
02000190,8.2,6.25,9.0,7.25,5.25,4.25,,,,N1
02000191,8.2,5.25,6.6,7.25,7.5,6.5,,,,N1
02000192,7.2,7.5,5.0,6.0,7.0,6.0,,,,N1
02000193,8.2,6.75,6.6,7.0,7.25,4.5,,,,N1
02000194,7.8,6.25,8.8,5.5,5.0,6.25,,,,N1
02000195,8.0,7.5,8.6,,,,6.5,7.75,8.0,N1
02000196,4.0,6.75,6.2,,,,7.75,5.75,6.5,N1
02000197,5.2,5.75,7.6,,,,6.25,6.75,8.5,N1
02000198,7.6,7.25,,,,,7.5,8.75,9.25,
02000199,7.4,5.5,,,,,8.5,8.5,9.0,
02000200,8.2,5.5,7.4,4.5,10.0,9.0,,,,N1
02000201,8.2,7.5,9.0,,,,7.75,8.5,9.5,N1
02000202,8.2,8.0,6.4,,,,7.75,7.25,8.5,N1
02000203,7.6,6.75,9.8,5.75,3.75,5.25,,,,N1
02000204,6.4,6.25,7.0,5.0,7.0,4.0,,,,N1
02000205,8.4,6.75,,3.25,9.25,7.75,,,,
02000206,8.6,2.75,,4.25,8.5,8.75,,,,
02000207,8.2,6.5,9.4,2.5,9.0,9.25,,,,N1
02000208,8.0,8.0,,7.0,7.75,7.25,,,,
02000209,7.8,7.5,,6.5,8.25,5.75,,,,
02000210,7.4,7.5,7.4,,,,7.5,8.5,8.5,N1
02000211,7.0,7.25,7.4,5.5,4.5,5.25,,,,N1
02000212,8.6,5.0,8.8,6.5,9.0,6.75,,,,N1
02000213,8.0,6.0,9.0,8.5,6.25,5.75,,,,N1
02000214,6.6,6.5,7.8,4.0,4.25,4.5,,,,N1
02000215,8.2,6.25,9.4,6.0,7.0,4.5,,,,N1
02000216,8.0,7.5,9.2,7.5,7.0,6.0,,,,N1
02000217,8.4,6.75,9.6,7.0,4.25,5.0,,,,N1
02000218,9.0,8.0,8.2,6.75,7.25,6.25,,,,N1
02000219,7.8,5.25,8.6,6.75,5.5,5.75,,,,N1
02000220,7.4,5.75,8.4,8.0,4.0,5.5,,,,N1
02000221,8.2,7.0,9.0,8.0,4.75,4.75,,,,N1
02000222,5.2,7.0,8.4,,,,7.0,5.75,7.5,N1
02000223,6.6,7.0,8.0,5.25,3.75,5.0,,,,N1
02000224,6.4,6.0,5.4,5.25,4.75,5.25,,,,N1
02000225,6.6,7.25,7.6,7.0,5.75,4.25,,,,N1
02000226,8.0,4.5,6.4,4.0,9.0,9.0,,,,N1
02000227,9.0,6.75,9.6,7.75,9.0,6.5,,,,N1
02000228,8.0,6.75,6.0,7.5,8.5,5.5,,,,N1
02000229,6.6,7.0,9.4,,,,5.75,5.5,8.25,N1
02000230,7.4,6.0,,,,,7.25,8.0,8.75,
02000231,6.8,8.25,9.0,6.75,8.25,8.25,,,,N1
02000232,4.6,6.25,5.8,,,,7.75,8.0,7.5,N1
02000233,6.8,6.75,10.0,6.25,5.25,6.5,,,,N1
02000234,5.6,5.5,7.8,4.25,5.75,5.0,,,,N1
02000235,6.0,7.5,8.8,,,,6.5,7.75,6.75,N1
02000236,6.8,4.0,9.8,4.25,6.25,5.5,,,,N1
02000237,7.0,7.75,8.4,2.5,7.25,4.0,,,,N1
02000238,5.6,6.0,8.6,4.5,7.25,5.75,,,,N1
02000239,8.0,5.0,8.2,7.0,5.75,5.5,,,,N1
02000240,7.2,6.5,9.0,5.75,5.0,5.0,,,,N1
02000241,7.6,7.25,,7.25,7.0,7.25,,,,
02000242,6.4,8.0,8.6,,,,6.5,6.0,8.75,N1
02000243,7.8,8.0,,,,,8.75,8.0,9.25,
02000244,7.6,7.25,8.6,7.25,4.25,2.25,,,,N1
02000245,6.6,5.5,,3.25,7.5,7.0,,,,
02000246,7.6,8.25,9.0,7.75,5.0,6.0,,,,N1
02000247,8.6,7.75,9.6,7.0,8.0,7.25,,,,N1
02000248,9.0,6.0,8.8,8.25,8.5,5.25,,,,N1
02000249,4.8,8.75,8.6,,,,6.75,7.25,8.0,N1
02000250,8.4,8.0,8.6,,,,8.25,7.25,8.25,N1
02000251,8.8,7.75,,4.25,9.0,8.75,,,,
02000252,8.2,8.25,9.2,,,,7.5,6.75,7.75,N1
02000253,8.2,8.75,8.4,5.25,5.5,5.25,,,,N1
02000254,7.8,8.75,8.8,8.25,5.75,5.75,,,,N1
02000255,7.4,6.25,,5.0,6.0,7.0,,,,
02000256,8.2,8.25,9.4,,,,9.0,8.25,9.0,N1
02000257,8.4,8.25,8.6,,,,8.0,8.25,9.25,N1
02000258,8.4,7.25,9.0,2.75,8.25,3.75,,,,N1
02000259,6.4,7.25,8.4,7.0,4.75,5.25,,,,N1
02000260,7.2,5.5,7.0,4.25,7.25,8.0,,,,N1
02000261,7.0,7.75,9.8,5.0,5.5,6.75,,,,N1
02000262,8.4,7.75,9.2,6.25,5.75,6.5,,,,N1
02000263,7.2,7.0,9.4,4.5,9.0,4.75,,,,N1
02000264,8.0,7.5,9.0,5.5,5.5,7.75,,,,N1
02000265,8.2,7.0,9.0,8.0,2.75,5.75,,,,N1
02000266,8.2,6.25,8.2,6.0,4.5,5.25,,,,N1
02000267,8.6,5.75,6.0,8.75,7.75,5.25,,,,N1
02000268,8.4,7.75,9.2,8.5,8.0,6.25,,,,N1
02000269,7.6,6.25,8.6,2.5,7.0,6.0,,,,N1
02000270,7.0,7.75,9.2,,,,8.0,7.75,8.25,N1
02000271,8.2,7.0,7.2,7.25,4.75,4.75,,,,N1
02000272,7.4,7.0,7.4,3.75,7.0,6.5,,,,N1
02000273,2.2,6.25,5.4,,,,6.0,6.0,8.0,N1
02000274,7.4,8.25,9.0,,,,8.0,8.5,8.25,N1
02000275,8.2,6.75,9.8,5.25,8.25,5.75,,,,N1
02000276,7.2,7.75,7.6,,,,6.5,6.75,9.0,N1
02000277,8.2,8.5,,,,,9.25,9.0,8.75,
02000278,7.6,6.5,7.0,5.5,7.5,7.5,,,,N1
02000279,7.4,8.25,9.0,,,,9.0,5.75,8.25,N1
02000280,8.0,7.5,,4.25,8.0,6.75,,,,
02000281,7.0,5.75,6.8,6.5,5.0,4.25,,,,N1
02000282,8.2,8.25,9.0,,,,7.25,8.0,8.5,N1
02000283,8.0,8.5,9.2,7.75,8.75,6.25,,,,N1
02000284,7.8,7.25,6.8,6.25,7.25,6.0,,,,N1
02000285,4.4,6.5,9.6,,,,7.25,7.25,8.25,N1
02000286,7.8,7.5,9.4,,,,6.75,6.5,7.75,N6
02000287,8.2,8.0,9.2,6.25,6.75,5.0,,,,N1
02000288,8.6,7.5,7.4,6.75,4.25,5.25,,,,N1
02000289,8.0,7.5,6.4,6.0,6.25,3.5,,,,N1
02000290,8.4,8.75,8.8,,,,8.0,8.0,9.75,N1
02000291,6.6,8.5,6.0,,,,7.0,8.25,8.0,N1
02000292,9.0,7.5,7.6,8.25,6.25,5.75,,,,N1
02000293,8.0,8.0,6.6,,,,4.75,7.0,9.0,N1
02000294,6.2,8.25,9.0,,,,7.5,7.5,8.5,N1
02000295,8.0,8.5,9.0,,,,7.25,8.25,9.25,N1
02000296,7.4,7.75,,5.75,4.0,6.25,,,,
02000297,8.6,7.5,9.2,7.5,5.75,6.75,,,,N1
02000298,8.4,5.75,,4.0,8.0,8.5,,,,
02000299,8.4,8.0,7.2,,,,7.5,7.0,8.5,N1
02000300,9.0,5.75,9.6,8.5,4.5,4.5,,,,N1
02000301,8.6,8.0,9.6,7.0,8.25,6.75,,,,N1
02000302,8.4,8.25,8.8,8.0,8.25,7.0,,,,N1
02000303,7.6,7.25,6.6,,,,5.25,6.5,7.75,N1
02000304,6.4,7.75,,7.75,5.0,6.25,,,,
02000305,8.8,4.75,9.2,6.25,9.25,7.25,,,,N1
02000306,6.6,7.75,,6.0,4.5,5.5,,,,
02000307,7.0,6.0,9.2,2.75,8.25,5.25,,,,N1
02000308,8.6,4.75,8.8,7.5,9.0,4.5,,,,N1
02000309,7.6,6.5,9.2,8.25,9.0,6.75,,,,N1
02000310,5.0,6.75,3.0,,,,5.25,5.75,7.5,N1
02000311,7.4,6.75,9.4,4.25,5.0,6.5,,,,N1
02000312,8.6,5.75,8.0,7.5,4.5,5.0,,,,N1
02000313,7.8,8.25,9.8,5.25,7.25,6.75,,,,N1
02000314,7.6,7.5,9.6,5.25,5.5,7.0,,,,N1
02000315,7.6,7.0,8.8,6.5,5.25,6.0,,,,N1
02000316,8.2,7.5,,4.5,9.0,7.5,,,,
02000317,7.6,6.0,9.0,4.75,5.0,6.0,,,,N1
02000318,8.6,6.5,6.2,8.0,8.75,4.25,,,,N1
02000319,6.2,7.5,5.8,,,,4.75,5.0,8.25,N1
02000320,4.8,7.0,4.4,,,,5.5,5.25,6.75,N1
02000321,7.4,6.75,9.2,8.25,7.75,6.25,,,,N1
02000322,8.0,6.0,9.4,7.0,8.75,6.75,,,,N1
02000323,7.6,7.75,9.0,7.0,7.5,4.5,,,,N1
02000324,9.2,6.75,8.6,8.0,3.75,4.75,,,,N1
02000325,8.6,8.25,8.0,8.0,9.0,6.25,,,,N1
02000326,7.4,7.75,6.6,,,,6.75,6.5,8.0,N1
02000327,8.4,5.0,8.6,6.75,7.5,6.25,,,,N1
02000328,7.2,7.5,,5.75,5.5,6.25,,,,
02000329,8.2,3.75,7.8,8.0,5.75,4.75,,,,N1
02000330,8.0,7.5,9.2,,,,8.25,7.5,7.25,N1
02000331,8.4,7.5,7.6,7.5,7.75,4.75,,,,N1
02000332,7.4,6.25,,5.0,9.0,8.75,,,,
02000333,8.6,7.0,8.2,,,,7.5,8.25,8.0,N1
02000334,8.0,8.25,7.2,,,,7.75,8.0,7.25,N1
02000335,7.2,5.25,9.0,6.25,5.75,6.5,,,,N1
02000336,8.6,6.0,7.6,4.5,9.0,9.5,,,,N1
02000337,7.2,6.75,9.4,6.75,6.75,6.75,,,,N1
02000338,8.0,6.0,9.0,4.75,8.25,8.75,,,,N1
02000339,7.4,4.5,8.6,4.75,9.25,7.25,,,,N1
02000340,7.6,6.75,8.0,8.25,5.5,5.25,,,,N1
02000341,8.6,6.75,7.8,7.75,8.0,6.0,,,,N1
02000342,6.4,6.0,3.6,,,,5.5,6.5,6.5,N1
02000343,7.2,6.25,,4.0,6.25,5.75,,,,
02000344,7.6,7.0,9.8,6.5,7.0,7.25,,,,N1
02000345,8.0,6.5,7.2,8.0,7.25,5.5,,,,N1
02000346,7.6,7.0,,,,,7.75,8.5,8.0,
02000347,7.6,6.0,8.8,,,,8.75,9.0,8.75,N1
02000348,5.2,5.25,4.6,4.0,4.5,5.25,,,,N1
02000349,7.8,6.5,,8.0,7.75,7.25,,,,
02000350,7.6,7.25,8.4,5.0,7.5,6.25,,,,N1
02000351,8.6,7.0,9.8,8.25,8.25,9.0,,,,N1
02000352,8.4,7.25,7.4,7.25,7.5,5.25,,,,N1
02000353,4.8,6.0,2.4,,,,5.5,6.5,7.0,N1
02000354,8.8,6.25,9.6,6.0,7.75,5.75,,,,N1
02000355,9.0,7.25,6.6,8.25,9.0,6.0,,,,N1
02000356,8.6,7.0,9.0,8.75,9.5,6.75,,,,N1
02000357,5.8,6.75,8.0,,,,6.0,6.75,8.25,N1
02000358,7.8,7.75,7.6,7.5,7.5,7.25,,,,N5
02000359,7.8,8.25,9.0,7.5,6.75,6.0,,,,N1
02000360,7.8,2.75,6.8,3.0,4.75,5.75,,,,N1
02000361,8.4,7.75,8.6,6.0,5.75,6.75,,,,N1
02000362,8.2,7.0,9.0,5.75,6.0,6.0,,,,N1
02000363,7.2,5.5,7.2,2.5,6.0,6.25,,,,N1
02000364,7.6,6.75,9.2,7.5,7.25,8.0,,,,N1
02000365,8.6,5.75,,6.75,8.25,8.75,,,,
02000366,5.2,6.0,5.0,3.5,4.25,6.5,,,,N1
02000367,8.4,6.0,,7.5,6.75,5.25,,,,
02000368,8.2,7.0,9.4,3.5,4.25,6.0,,,,N1
02000369,8.6,7.25,5.4,6.5,8.5,3.5,,,,N1
02000370,8.2,8.25,8.2,,,,8.25,7.75,8.25,N1
02000371,8.4,7.75,8.8,7.25,7.0,6.75,,,,N1
02000372,7.6,5.75,7.2,5.0,5.0,4.5,,,,N1
02000373,7.8,6.5,8.6,6.5,6.5,5.5,,,,N1
02000374,8.0,7.0,9.2,4.25,9.0,9.25,,,,N1
02000375,8.8,7.75,9.4,7.0,6.25,7.0,,,,N1
02000376,8.6,8.5,9.0,8.5,6.75,7.75,,,,N1
02000377,6.0,6.75,5.4,3.5,4.5,5.0,,,,N1
02000378,7.6,6.75,9.4,5.0,7.0,6.25,,,,N1
02000379,6.2,6.75,6.0,7.5,6.75,4.5,,,,N1
02000380,5.8,4.75,2.4,5.0,4.5,5.25,,,,N1
02000381,8.2,6.5,6.8,6.25,6.0,4.5,,,,N1
02000382,7.4,8.25,8.2,7.0,8.25,6.0,,,,N1
02000383,5.6,7.25,8.8,3.75,6.25,4.75,,,,N1
02000384,8.0,5.75,8.6,8.0,6.0,5.25,,,,N1
02000385,8.6,6.75,9.6,8.25,8.0,5.25,,,,N1
02000386,8.2,7.0,7.8,7.25,5.75,6.5,,,,N1
02000387,7.6,7.25,9.0,8.5,7.5,5.0,,,,N1
02000388,8.0,7.25,9.8,8.25,7.0,7.0,,,,N1
02000389,7.2,6.75,9.6,8.0,3.25,5.0,,,,N1
02000390,6.6,5.5,6.2,6.25,4.25,5.0,,,,N1
02000391,7.6,5.75,8.4,6.5,8.0,5.75,,,,N1
02000392,7.4,7.75,8.4,7.75,3.0,6.0,,,,N1
02000393,6.2,7.0,7.8,6.0,4.5,4.5,,,,N1
02000394,7.4,6.5,9.2,5.25,6.0,7.75,,,,N1
02000395,7.0,7.0,7.2,3.5,6.0,7.5,,,,N1
02000396,8.8,7.5,6.8,3.75,9.25,8.5,,,,N1
02000397,6.6,7.25,8.6,4.25,7.25,5.5,,,,N1
02000398,7.6,5.5,9.0,7.75,4.75,4.0,,,,N1
02000399,7.6,5.75,8.0,7.0,7.25,7.0,,,,N1
02000400,8.0,7.75,9.2,6.5,4.25,6.5,,,,N1
02000401,8.6,6.0,8.2,8.25,5.0,6.25,,,,N1
02000402,6.8,5.75,9.0,6.0,3.25,5.5,,,,N1
02000403,8.2,7.25,9.4,5.25,9.5,9.25,,,,N1
02000404,8.0,6.75,8.6,4.5,5.25,6.0,,,,N1
02000405,6.0,5.0,7.4,5.0,5.75,7.0,,,,N1
02000406,7.6,7.5,8.6,6.25,7.75,7.25,,,,N1
02000407,8.2,5.25,7.6,8.75,8.75,7.5,,,,N1
02000408,8.6,6.0,9.4,7.25,6.0,8.0,,,,N1
02000409,7.4,7.0,8.6,5.25,4.75,5.25,,,,N1
02000410,7.8,6.0,9.2,4.5,5.75,6.0,,,,N1
